# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,LIB01-Negative-P01-B4-nc.blast.blast,LIB01-PS-Box01-T01-nc.blast.blast,LIB01-PS-Box01-T02-nc.blast.blast,LIB01-PS-Box01-T03-nc.blast.blast,LIB01-PS-Box01-T04-nc.blast.blast,LIB01-PS-Box01-T05-nc.blast.blast,LIB01-PS-Box01-T06-nc.blast.blast,LIB01-PS-Box01-T07-nc.blast.blast,LIB01-PS-Box01-T08-nc.blast.blast,LIB01-PS-Box01-T09-nc.blast.blast,LIB01-PS-Box01-T10-nc.blast.blast,LIB01-PS-Box01-T11-nc.blast.blast,LIB01-PS-Box01-T12-nc.blast.blast,LIB01-PS-Box02-T01-nc.blast.blast,LIB01-PS-Box02-T02-nc.blast.blast,LIB01-PS-Box02-T03-nc.blast.blast,LIB01-PS-Box02-T04-nc.blast.blast,LIB01-PS-Box02-T05-nc.blast.blast,LIB01-PS-Box02-T06-nc.blast.blast,LIB01-PS-Box02-T07-nc.blast.blast,LIB01-PS-Box02-T08-nc.blast.blast,LIB01-PS-Box02-T09-nc.blast.blast,LIB01-PS-Box02-T10-nc.blast.blast,LIB01-PS-Box02-T11-nc.blast.blast,LIB01-PS-Box02-T12-nc.blast.blast,LIB01-Positive-P01-A4-nc.blast.blast,LIB02-TL01-nc.blast.blast,LIB02-TL02-nc.blast.blast,LIB02-TL03-nc.blast.blast,LIB02-TL04-nc.blast.blast,LIB02-TL05-nc.blast.blast,LIB02-TL06-nc.blast.blast,LIB02-TL07-nc.blast.blast,LIB02-TL08-nc.blast.blast,LIB02-TL09-nc.blast.blast,LIB02-TL10-nc.blast.blast,LIB02-TL11-nc.blast.blast,LIB02-TL12-nc.blast.blast,LIB02-TL13-nc.blast.blast,LIB02-TL14-nc.blast.blast,LIB02-TL15-nc.blast.blast,LIB02-TL16-nc.blast.blast,LIB02-TL17-nc.blast.blast,LIB02-TL18-nc.blast.blast,LIB02-TL20-nc.blast.blast,LIB03-TL21-nc.blast.blast,LIB03-TL23-nc.blast.blast,LIB03-TL24-nc.blast.blast,LIB03-TL25-nc.blast.blast,LIB03-TL26-nc.blast.blast,LIB03-TL27-nc.blast.blast,LIB03-TL28-nc.blast.blast,LIB03-TL29-nc.blast.blast,LIB03-TL30-nc.blast.blast,LIB03-TL31-nc.blast.blast,LIB03-TL32-nc.blast.blast,LIB03-TL33-nc.blast.blast,LIB03-TL34-nc.blast.blast,LIB03-TL35-nc.blast.blast,LIB03-TL36-nc.blast.blast,LIB03-TL38-nc.blast.blast,LIB03-TL39-nc.blast.blast,LIB03-TL40-nc.blast.blast,LIB04-Negative-P02-D2-nc.blast.blast,LIB04-Positive-P02-C2-nc.blast.blast,LIB04-TL41-nc.blast.blast,LIB04-TL42-nc.blast.blast,LIB04-TL43-nc.blast.blast,LIB04-TL44-nc.blast.blast,LIB04-TL45-nc.blast.blast,LIB04-TL46-nc.blast.blast,LIB04-TL47-nc.blast.blast,LIB04-TL49-nc.blast.blast,LIB04-TL50-nc.blast.blast,LIB04-TL51-nc.blast.blast,LIB04-TL52-nc.blast.blast,LIB04-TL53-nc.blast.blast,LIB04-TL54-nc.blast.blast,LIB04-TL55-nc.blast.blast,LIB04-TL56-nc.blast.blast,LIB04-TL57-nc.blast.blast,LIB04-TL58-nc.blast.blast,LIB04-TL59-nc.blast.blast,LIB04-TL60-nc.blast.blast,LIB05-Negative-P02-F4-nc.blast.blast,LIB05-Positive-P02-E4-nc.blast.blast,LIB05-TL19M-nc.blast.blast,LIB05-TL19Q-nc.blast.blast,LIB05-TL22M-nc.blast.blast,LIB05-TL22Q-nc.blast.blast,LIB05-TL37M-nc.blast.blast,LIB05-TL37Q-nc.blast.blast,LIB05-TL48M-nc.blast.blast,LIB05-TL48Q-nc.blast.blast,LIB05-TL61M-nc.blast.blast,LIB05-TL61Q-nc.blast.blast,LIB05-TL62M-nc.blast.blast,LIB05-TL62Q-nc.blast.blast,LIB05-TL63M-nc.blast.blast,LIB05-TL63Q-nc.blast.blast,LIB05-TL64M-nc.blast.blast,LIB05-TL64Q-nc.blast.blast,LIB06-MH-19-01-nc.blast.blast,LIB06-MH-19-02-nc.blast.blast,LIB06-MH-19-03-nc.blast.blast,LIB06-MH-19-05-nc.blast.blast,LIB06-MH-19-06-nc.blast.blast,LIB06-MH-19-07-nc.blast.blast,LIB06-MH-19-08-nc.blast.blast,LIB06-MH-19-09-nc.blast.blast,LIB06-MH-19-12-nc.blast.blast,LIB06-MH-19-13-nc.blast.blast,LIB06-MH-19-14-nc.blast.blast,LIB06-MH-19-15-nc.blast.blast,LIB06-MH-19-16-nc.blast.blast,LIB06-MH-19-17-nc.blast.blast,LIB06-MH-19-18-nc.blast.blast,LIB06-MH-19-19-nc.blast.blast,LIB07-01-07-nc.blast.blast,LIB07-01-08-nc.blast.blast,LIB07-01-09-nc.blast.blast,LIB07-01-10-nc.blast.blast,LIB07-01-11-nc.blast.blast,LIB07-02-10-nc.blast.blast,LIB07-Positive-P03-B4-nc.blast.blast,taxomomy
Felis_catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,249,0,0,0,45,0,0,0,0,0,8,16,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Carnivora', 'f__Felidae', 'g__Felis', 's__Felis_catus']"
Homo_sapiens,0,51,44,105,0,184,83,98,46,67,21,11,5,518,34,94,26,104,510,23,0,52,10,53,3,34,0,0,181,0,21,0,13,0,0,0,3,250,17,0,0,0,10,0,51,15,70,0,0,0,0,0,0,0,0,0,29,0,0,14,0,0,0,0,0,83,0,0,48,0,0,0,0,5,51,0,13,0,23,64,0,78,241,16,0,10,3,28,3,33,0,15,0,0,0,50,4,7,0,13,6,127,7267,8511,6969,1584,2985,899,120380,534,6095,8330,5846,0,16414,22309,34243,3041,0,4,225,801,0,41,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Primates', 'f__Hominidae', 'g__Homo', 's__Homo_sapiens']"
Bubalus_bubalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__unknown', 'f__Bovidae', 'g__Bubalus', 's__Bubalus_bubalis']"
Alces_alces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,48,0,0,0,0,53,0,23,0,10,3,61,73619,0,3,3,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__unknown', 'f__Cervidae', 'g__Alces', 's__Alces_alces']"
Cottus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,3,0,375,297,537,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Cottidae', 'g__Cottus']"
Meleagris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Galliformes', 'f__Phasianidae', 'g__Meleagris']"
Vulpes,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Carnivora', 'f__Canidae', 'g__Vulpes']"
Pan,0,21,0,0,0,5,0,0,0,3,0,0,6,0,0,0,14,4,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1784,54,3,3,5,28,15979,3,5,6,0,0,2829,125,4793,0,5,8,0,4,0,6,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Primates', 'f__Hominidae', 'g__Pan']"
Bison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__unknown', 'f__Bovidae', 'g__Bison']"
Cyprinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae']"
