sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
LIB04-TL50-nc,NA,NA,NA,NA,NA,1.0,1077,3,333,73096
LIB04-TL51-nc,NA,NA,NA,NA,NA,1.0,524,3,101,18512
LIB04-TL52-nc,NA,NA,NA,NA,NA,1.0,571,3,235,70271
LIB04-TL53-nc,NA,NA,NA,NA,NA,1.0,678,3,122,33557
LIB04-TL54-nc,NA,NA,NA,NA,NA,1.0,492,3,129,26298
LIB04-TL55-nc,NA,NA,NA,NA,NA,1.0,695,3,178,41768
LIB04-TL56-nc,NA,NA,NA,NA,NA,1.0,973,3,345,90218
LIB04-TL57-nc,NA,NA,NA,NA,NA,1.0,603,3,227,51824
LIB04-TL58-nc,NA,NA,NA,NA,NA,1.0,811,3,180,48519
LIB04-TL59-nc,NA,NA,NA,NA,NA,1.0,583,3,149,40307
LIB04-TL60-nc,NA,NA,NA,NA,NA,1.0,565,3,274,118639
LIB05-Negative-P02-F4-nc,NA,NA,NA,NA,NA,1.0,1,3,0,0
LIB05-Positive-P02-E4-nc,NA,NA,NA,NA,NA,1.0,184,3,44,9744
LIB05-TL19M-nc,NA,NA,NA,NA,NA,1.0,1054,3,265,53500
LIB05-TL19Q-nc,NA,NA,NA,NA,NA,1.0,464,3,85,29032
LIB05-TL22M-nc,NA,NA,NA,NA,NA,1.0,627,3,182,38222
LIB05-TL22Q-nc,NA,NA,NA,NA,NA,1.0,406,3,86,24392
LIB05-TL37M-nc,NA,NA,NA,NA,NA,1.0,804,3,231,45089
LIB05-TL37Q-nc,NA,NA,NA,NA,NA,1.0,527,3,131,33735
LIB05-TL48M-nc,NA,NA,NA,NA,NA,1.0,987,3,318,72142
LIB05-TL48Q-nc,NA,NA,NA,NA,NA,1.0,593,3,183,48410
LIB05-TL61M-nc,NA,NA,NA,NA,NA,1.0,823,3,342,56615
LIB05-TL61Q-nc,NA,NA,NA,NA,NA,1.0,648,3,240,45227
LIB05-TL62M-nc,NA,NA,NA,NA,NA,1.0,716,3,291,55761
LIB05-TL62Q-nc,NA,NA,NA,NA,NA,1.0,509,3,176,37915
LIB05-TL63M-nc,NA,NA,NA,NA,NA,1.0,807,3,211,31272
LIB05-TL63Q-nc,NA,NA,NA,NA,NA,1.0,497,3,93,22034
